1787904826,0, 100, 551.15;1, 100, 562.68;2, 100, 490.09;3, 85, 544.13;
1787904828,0, 100, 547.57;1, 100, 494.22;2, 100, 497.59;3, 87, 544.85;
1787904830,0, 100, 574.61;1, 100, 552.70;2, 100, 533.36;3, 89, 544.72;
1787904832,0, 100, 514.66;1, 100, 569.01;2, 100, 238.64;3, 85, 541.33;
1787904834,0, 100, 321.49;1, 86, 371.48;2, 100, 197.18;3, 83, 512.50;
1787904836,0, 6, 382.13;1, 95, 163.57;2, 100, 302.90;3, 78, 458.85;
1787904838,0, 100, 470.94;1, 100, 325.24;2, 100, 566.96;3, 0, 304.63;
1787904840,0, 100, 564.25;1, 100, 481.98;2, 100, 566.45;3, 0, 105.70;
1787904843,0, 100, 575.48;1, 100, 432.21;2, 100, 513.40;3, 0, 94.29;
1787904845,0, 100, 364.25;1, 87, 393.69;2, 100, 422.72;3, 0, 92.52;
1787904847,0, 100, 355.54;1, 91, 386.67;2, 95, 400.13;3, 0, 92.35;
1787904849,0, 100, 564.45;1, 100, 539.98;2, 100, 547.23;3, 0, 90.83;
1787904851,0, 100, 523.82;1, 100, 575.22;2, 100, 551.39;3, 0, 91.13;
1787904853,0, 100, 486.33;1, 84, 516.62;2, 100, 541.65;3, 0, 90.26;
1787904855,0, 100, 389.25;1, 100, 408.34;2, 100, 455.52;3, 0, 53.59;
1787904858,0, 100, 401.05;1, 100, 574.94;2, 100, 528.16;3, 0, 40.87;
1787904860,0, 100, 238.33;1, 100, 569.64;2, 100, 270.29;3, 0, 37.61;
1787904862,0, 0, 141.34;1, 0, 117.40;2, 0, 110.49;3, 0, 29.53;
1787904864,0, 0, 292.10;1, 22, 533.38;2, 10, 377.76;3, 0, 24.90;
1787904866,0, 100, 512.20;1, 100, 581.68;2, 100, 444.93;3, 0, 24.35;
1787904868,0, 100, 551.49;1, 100, 559.52;2, 100, 527.36;3, 0, 23.96;
1787904870,0, 7, 422.08;1, 100, 575.08;2, 100, 546.03;3, 0, 23.69;
1787904873,0, 100, 411.46;1, 15, 527.01;2, 8, 345.62;3, 0, 23.64;
1787904875,0, 100, 465.84;1, 100, 572.04;2, 100, 400.95;3, 0, 23.36;
1787904877,0, 100, 421.46;1, 100, 568.54;2, 100, 440.65;3, 0, 24.03;
