0, 0 %, 67.19 W;1, 0 %, 67.89 W;2, 0 %, 61.38 W;3, 0 %, 7.48 W; @1786707445
0, 0 %, 66.76 W;1, 0 %, 68.07 W;2, 0 %, 60.95 W;3, 0 %, 7.15 W; @1786707447
0, 0 %, 66.41 W;1, 0 %, 67.56 W;2, 0 %, 60.19 W;3, 0 %, 7.42 W; @1786707449
0, 99 %, 535.39 W;1, 100 %, 456.82 W;2, 98 %, 491.00 W;3, 0 %, 9.02 W; @1786707451
0, 98 %, 550.85 W;1, 98 %, 508.40 W;2, 99 %, 525.90 W;3, 0 %, 10.28 W; @1786707454
0, 99 %, 558.79 W;1, 99 %, 516.32 W;2, 99 %, 536.25 W;3, 0 %, 10.41 W; @1786707456
0, 94 %, 538.53 W;1, 100 %, 496.80 W;2, 99 %, 513.89 W;3, 0 %, 10.41 W; @1786707458
0, 99 %, 562.73 W;1, 99 %, 520.85 W;2, 99 %, 538.08 W;3, 0 %, 10.50 W; @1786707460
0, 100 %, 543.63 W;1, 92 %, 382.41 W;2, 99 %, 425.86 W;3, 0 %, 9.85 W; @1786707462
0, 86 %, 557.57 W;1, 99 %, 514.89 W;2, 98 %, 533.23 W;3, 0 %, 10.67 W; @1786707464
0, 99 %, 563.32 W;1, 99 %, 520.44 W;2, 99 %, 541.45 W;3, 0 %, 10.58 W; @1786707466
0, 0 %, 100.41 W;1, 0 %, 92.01 W;2, 0 %, 92.70 W;3, 0 %, 7.68 W; @1786707468
0, 0 %, 68.34 W;1, 0 %, 69.81 W;2, 0 %, 62.70 W;3, 0 %, 7.63 W; @1786707471
0, 98 %, 442.94 W;1, 98 %, 358.59 W;2, 0 %, 397.65 W;3, 0 %, 8.13 W; @1786707473
0, 98 %, 545.78 W;1, 99 %, 500.41 W;2, 99 %, 524.86 W;3, 0 %, 10.77 W; @1786707475
0, 98 %, 546.68 W;1, 89 %, 502.65 W;2, 98 %, 521.03 W;3, 0 %, 10.90 W; @1786707477
0, 0 %, 93.33 W;1, 0 %, 87.37 W;2, 0 %, 86.91 W;3, 0 %, 7.79 W; @1786707479
0, 0 %, 68.26 W;1, 0 %, 69.70 W;2, 0 %, 62.72 W;3, 0 %, 7.57 W; @1786707481
0, 0 %, 67.69 W;1, 0 %, 68.87 W;2, 0 %, 62.03 W;3, 0 %, 7.76 W; @1786707484
0, 99 %, 559.76 W;1, 99 %, 517.37 W;2, 98 %, 538.02 W;3, 0 %, 10.65 W; @1786707486
0, 99 %, 558.14 W;1, 99 %, 515.14 W;2, 99 %, 535.76 W;3, 0 %, 10.52 W; @1786707488
0, 0 %, 99.17 W;1, 0 %, 90.97 W;2, 0 %, 91.44 W;3, 0 %, 7.32 W; @1786707490
0, 0 %, 67.71 W;1, 0 %, 69.73 W;2, 0 %, 62.17 W;3, 0 %, 6.95 W; @1786707492
0, 0 %, 66.96 W;1, 0 %, 68.92 W;2, 0 %, 62.02 W;3, 0 %, 7.33 W; @1786707494
0, 0 %, 66.66 W;1, 0 %, 68.60 W;2, 0 %, 61.24 W;3, 0 %, 7.57 W; @1786707497
0, 0 %, 115.27 W;1, 0 %, 108.78 W;2, 0 %, 103.32 W;3, 0 %, 7.17 W; @1786707499
0, 99 %, 552.28 W;1, 99 %, 505.23 W;2, 99 %, 527.13 W;3, 0 %, 9.78 W; @1786707501
0, 98 %, 549.42 W;1, 98 %, 503.72 W;2, 99 %, 523.99 W;3, 0 %, 10.83 W; @1786707503
0, 99 %, 560.35 W;1, 99 %, 517.10 W;2, 99 %, 537.41 W;3, 0 %, 10.48 W; @1786707505
0, 99 %, 540.01 W;1, 99 %, 499.89 W;2, 99 %, 521.77 W;3, 0 %, 10.68 W; @1786707507
0, 99 %, 561.47 W;1, 99 %, 522.47 W;2, 99 %, 542.72 W;3, 0 %, 10.24 W; @1786707509
0, 99 %, 545.36 W;1, 99 %, 503.22 W;2, 99 %, 524.00 W;3, 0 %, 10.25 W; @1786707511
0, 98 %, 554.59 W;1, 98 %, 512.79 W;2, 86 %, 533.17 W;3, 0 %, 10.60 W; @1786707513
0, 99 %, 563.58 W;1, 99 %, 522.50 W;2, 99 %, 541.24 W;3, 0 %, 10.34 W; @1786707516
0, 11 %, 101.45 W;1, 10 %, 93.96 W;2, 41 %, 94.68 W;3, 0 %, 49.15 W; @1786707518
0, 6 %, 69.41 W;1, 6 %, 70.75 W;2, 19 %, 64.75 W;3, 0 %, 49.68 W; @1786707520
0, 0 %, 67.99 W;1, 0 %, 70.14 W;2, 0 %, 63.22 W;3, 0 %, 49.63 W; @1786707522
0, 0 %, 67.29 W;1, 0 %, 69.63 W;2, 0 %, 62.18 W;3, 0 %, 50.03 W; @1786707524
0, 0 %, 66.61 W;1, 0 %, 69.13 W;2, 0 %, 61.76 W;3, 0 %, 49.90 W; @1786707526
0, 0 %, 66.67 W;1, 0 %, 69.02 W;2, 0 %, 61.55 W;3, 0 %, 49.83 W; @1786707528
0, 0 %, 66.44 W;1, 0 %, 68.54 W;2, 0 %, 60.84 W;3, 0 %, 49.60 W; @1786707530
0, 0 %, 66.05 W;1, 0 %, 68.03 W;2, 0 %, 60.74 W;3, 0 %, 49.62 W; @1786707532
0, 0 %, 65.80 W;1, 0 %, 68.35 W;2, 0 %, 60.71 W;3, 0 %, 13.56 W; @1786707535
0, 0 %, 66.01 W;1, 0 %, 67.78 W;2, 0 %, 58.63 W;3, 0 %, 7.70 W; @1786707537
0, 0 %, 23.92 W;1, 0 %, 32.31 W;2, 0 %, 16.43 W;3, 0 %, 6.95 W; @1786707539
0, 0 %, 22.64 W;1, 0 %, 26.67 W;2, 0 %, 15.84 W;3, 0 %, 7.04 W; @1786707541
0, 0 %, 22.57 W;1, 0 %, 26.57 W;2, 0 %, 15.45 W;3, 0 %, 7.06 W; @1786707543
0, 0 %, 22.33 W;1, 0 %, 26.55 W;2, 0 %, 15.39 W;3, 0 %, 6.87 W; @1786707545
0, 0 %, 22.48 W;1, 0 %, 26.35 W;2, 0 %, 15.07 W;3, 0 %, 7.06 W; @1786707547
0, 0 %, 22.14 W;1, 0 %, 25.99 W;2, 0 %, 14.89 W;3, 0 %, 7.27 W; @1786707550
0, 0 %, 22.68 W;1, 0 %, 25.88 W;2, 0 %, 14.55 W;3, 0 %, 7.11 W; @1786707552
0, 0 %, 22.32 W;1, 0 %, 26.02 W;2, 0 %, 14.88 W;3, 0 %, 6.64 W; @1786707554
0, 0 %, 21.88 W;1, 0 %, 25.62 W;2, 0 %, 14.59 W;3, 0 %, 7.23 W; @1786707556
0, 0 %, 21.81 W;1, 0 %, 25.79 W;2, 0 %, 14.28 W;3, 0 %, 6.90 W; @1786707558
0, 0 %, 22.08 W;1, 0 %, 24.89 W;2, 0 %, 14.43 W;3, 0 %, 7.23 W; @1786707560
0, 0 %, 21.69 W;1, 0 %, 23.98 W;2, 0 %, 14.19 W;3, 0 %, 7.05 W; @1786707562
0, 0 %, 21.48 W;1, 0 %, 24.67 W;2, 0 %, 14.11 W;3, 0 %, 7.02 W; @1786707565
0, 0 %, 21.36 W;1, 0 %, 24.88 W;2, 0 %, 14.06 W;3, 0 %, 7.15 W; @1786707567
0, 0 %, 21.09 W;1, 0 %, 24.61 W;2, 0 %, 13.87 W;3, 0 %, 7.15 W; @1786707569
0, 0 %, 21.25 W;1, 0 %, 24.62 W;2, 0 %, 13.82 W;3, 0 %, 7.36 W; @1786707571
0, 0 %, 33.19 W;1, 0 %, 33.68 W;2, 36 %, 59.70 W;3, 0 %, 7.45 W; @1786707573
0, 27 %, 69.26 W;1, 0 %, 64.20 W;2, 0 %, 56.30 W;3, 0 %, 7.54 W; @1786707575
0, 100 %, 113.31 W;1, 0 %, 64.46 W;2, 0 %, 56.23 W;3, 100 %, 93.58 W; @1786707577
0, 0 %, 93.04 W;1, 0 %, 64.47 W;2, 0 %, 56.79 W;3, 100 %, 171.95 W; @1786707579
0, 0 %, 63.90 W;1, 0 %, 64.28 W;2, 0 %, 56.51 W;3, 0 %, 66.11 W; @1786707581
0, 0 %, 64.12 W;1, 0 %, 64.98 W;2, 0 %, 56.10 W;3, 100 %, 444.46 W; @1786707584
0, 0 %, 63.65 W;1, 0 %, 62.98 W;2, 0 %, 55.97 W;3, 100 %, 404.67 W; @1786707586
0, 0 %, 63.74 W;1, 0 %, 63.00 W;2, 0 %, 55.85 W;3, 50 %, 254.45 W; @1786707588
0, 0 %, 63.81 W;1, 0 %, 62.90 W;2, 0 %, 54.05 W;3, 68 %, 277.47 W; @1786707590
0, 0 %, 63.49 W;1, 0 %, 30.24 W;2, 0 %, 18.06 W;3, 54 %, 270.38 W; @1786707592
0, 0 %, 63.26 W;1, 0 %, 24.33 W;2, 0 %, 17.15 W;3, 17 %, 264.78 W; @1786707594
0, 0 %, 24.30 W;1, 0 %, 24.37 W;2, 0 %, 16.22 W;3, 90 %, 278.75 W; @1786707596
0, 0 %, 23.26 W;1, 0 %, 24.43 W;2, 0 %, 16.09 W;3, 43 %, 282.84 W; @1786707599
0, 0 %, 49.11 W;1, 0 %, 47.49 W;2, 0 %, 40.44 W;3, 21 %, 166.97 W; @1786707601
0, 0 %, 77.66 W;1, 0 %, 73.14 W;2, 0 %, 55.76 W;3, 15 %, 143.73 W; @1786707603
0, 0 %, 78.21 W;1, 0 %, 72.92 W;2, 0 %, 55.70 W;3, 28 %, 203.24 W; @1786707606
0, 99 %, 396.68 W;1, 98 %, 480.51 W;2, 98 %, 349.49 W;3, 52 %, 297.40 W; @1786707608
0, 99 %, 452.30 W;1, 99 %, 409.57 W;2, 99 %, 440.15 W;3, 64 %, 236.12 W; @1786707610
0, 59 %, 344.36 W;1, 51 %, 330.66 W;2, 98 %, 317.53 W;3, 51 %, 157.52 W; @1786707612
0, 0 %, 92.21 W;1, 0 %, 85.39 W;2, 0 %, 83.38 W;3, 21 %, 145.74 W; @1786707615
0, 0 %, 64.78 W;1, 0 %, 63.74 W;2, 0 %, 56.97 W;3, 17 %, 166.41 W; @1786707617
0, 0 %, 64.56 W;1, 0 %, 64.06 W;2, 0 %, 56.82 W;3, 13 %, 151.07 W; @1786707619
0, 58 %, 366.24 W;1, 78 %, 319.96 W;2, 96 %, 381.34 W;3, 44 %, 251.59 W; @1786707621
